timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-09-15T19:04:23.930381+07:00,Hà Nội,58,/dl/assets/svg/weather/ic-weather-04n.svg,7 km/h,86%
2025-09-15T19:36:46.608175+07:00,Hà Nội,66,/dl/assets/svg/weather/ic-weather-04n.svg,7 km/h,86%
2025-09-15T20:26:49.732700+07:00,Hà Nội,62,/dl/assets/svg/weather/ic-weather-04n.svg,6.3 km/h,90%
2025-09-15T21:11:41.001105+07:00,Hà Nội,62,/dl/assets/svg/weather/ic-weather-04n.svg,5.5 km/h,90%
2025-09-15T22:24:59.398036+07:00,Hà Nội,53,/dl/assets/svg/weather/ic-weather-04n.svg,5.3 km/h,91%
2025-09-15T23:29:26.982904+07:00,Hà Nội,53,/dl/assets/svg/weather/ic-weather-04n.svg,5.1 km/h,91%
2025-09-16T00:19:35.316409+07:00,Hà Nội,54,/dl/assets/svg/weather/ic-weather-04n.svg,4.3 km/h,92%
2025-09-16T01:32:53.636329+07:00,Hà Nội,59,/dl/assets/svg/weather/ic-weather-04n.svg,5.1 km/h,94%
2025-09-16T02:17:59.223682+07:00,Hà Nội,85,/dl/assets/svg/weather/ic-weather-04n.svg,4.4 km/h,95%
2025-09-16T03:24:35.379460+07:00,Hà Nội,90,/dl/assets/svg/weather/ic-weather-04n.svg,4.3 km/h,95%
2025-09-16T04:20:00.618597+07:00,Hà Nội,93,/dl/assets/svg/weather/ic-weather-04n.svg,5.8 km/h,95%
2025-09-16T05:20:15.480375+07:00,Hà Nội,98,/dl/assets/svg/weather/ic-weather-04n.svg,3.2 km/h,95%
2025-09-16T06:19:13.256059+07:00,Hà Nội,96,/dl/assets/svg/weather/ic-weather-10d.svg,3.4 km/h,95%
2025-09-16T08:44:50.919276+07:00,Hà Nội,79,/dl/assets/svg/weather/ic-weather-03d.svg,1.8 km/h,81%
2025-09-16T09:58:55.881051+07:00,Hà Nội,71,/dl/assets/svg/weather/ic-weather-02d.svg,0.9 km/h,73%
2025-09-16T10:33:59.736373+07:00,Hà Nội,67,/dl/assets/svg/weather/ic-weather-10d.svg,1.3 km/h,65%
2025-09-16T11:26:49.529477+07:00,Hà Nội,76,/dl/assets/svg/weather/ic-weather-03d.svg,0.8 km/h,59%
2025-09-16T12:21:30.594546+07:00,Hà Nội,85,/dl/assets/svg/weather/ic-weather-04d.svg,0.9 km/h,56%
2025-09-16T13:34:43.314021+07:00,Hà Nội,77,/dl/assets/svg/weather/ic-weather-03d.svg,0.7 km/h,54%
2025-09-16T14:22:37.078855+07:00,Hà Nội,83,/dl/assets/svg/weather/ic-weather-04d.svg,2 km/h,55%
2025-09-16T15:31:29.511342+07:00,Hà Nội,60,/dl/assets/svg/weather/ic-weather-10d.svg,2.7 km/h,56%
2025-09-16T16:25:39.455289+07:00,Hà Nội,76,/dl/assets/svg/weather/ic-weather-10d.svg,4 km/h,60%
2025-09-16T17:24:08.862941+07:00,Hà Nội,71,/dl/assets/svg/weather/ic-weather-04d.svg,4.5 km/h,67%
2025-09-16T18:18:49.272235+07:00,Hà Nội,80,/dl/assets/svg/weather/ic-weather-04n.svg,6.6 km/h,71%
2025-09-16T19:48:53.865838+07:00,Hà Nội,90,/dl/assets/svg/weather/ic-weather-04n.svg,13.5 km/h,77%
2025-09-16T20:32:07.310338+07:00,Hà Nội,90,/dl/assets/svg/weather/ic-weather-01n.svg,9 km/h,81%
2025-09-16T21:23:43.093357+07:00,Hà Nội,90,/dl/assets/svg/weather/ic-weather-01n.svg,7.1 km/h,81%
2025-09-16T22:25:23.601392+07:00,Hà Nội,78,/dl/assets/svg/weather/ic-weather-01n.svg,6.1 km/h,83%
