timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-09-15T19:04:25.545304+07:00,Hồ Chí Minh,53,/dl/assets/svg/weather/ic-weather-04n.svg,6.3 km/h,72%
2025-09-15T19:36:48.705711+07:00,Hồ Chí Minh,63,/dl/assets/svg/weather/ic-weather-04n.svg,6.3 km/h,72%
2025-09-15T20:26:51.467370+07:00,Hồ Chí Minh,64,/dl/assets/svg/weather/ic-weather-10n.svg,5.5 km/h,77%
2025-09-15T21:11:43.138124+07:00,Hồ Chí Minh,54,/dl/assets/svg/weather/ic-weather-04n.svg,5.4 km/h,78%
2025-09-15T22:25:01.973624+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-10n.svg,4.8 km/h,79%
2025-09-15T23:29:29.588847+07:00,Hồ Chí Minh,61,/dl/assets/svg/weather/ic-weather-04n.svg,4.3 km/h,82%
2025-09-16T00:19:37.892385+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-04n.svg,4.3 km/h,82%
2025-09-16T01:32:56.245321+07:00,Hồ Chí Minh,80,/dl/assets/svg/weather/ic-weather-04n.svg,4.8 km/h,85%
2025-09-16T02:18:01.802525+07:00,Hồ Chí Minh,88,/dl/assets/svg/weather/ic-weather-04n.svg,3.9 km/h,87%
2025-09-16T03:24:37.784832+07:00,Hồ Chí Minh,71,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,89%
2025-09-16T04:20:03.304719+07:00,Hồ Chí Minh,50,/dl/assets/svg/weather/ic-weather-04n.svg,4.1 km/h,88%
2025-09-16T05:20:18.255804+07:00,Hồ Chí Minh,54,/dl/assets/svg/weather/ic-weather-04n.svg,2.5 km/h,90%
2025-09-16T06:19:15.903254+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-04d.svg,3.2 km/h,93%
2025-09-16T08:44:53.253554+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-04d.svg,3.8 km/h,86%
2025-09-16T09:58:58.522364+07:00,Hồ Chí Minh,71,/dl/assets/svg/weather/ic-weather-04d.svg,4.7 km/h,80%
2025-09-16T10:34:02.234281+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-04d.svg,4.7 km/h,79%
2025-09-16T11:26:52.029293+07:00,Hồ Chí Minh,73,/dl/assets/svg/weather/ic-weather-04d.svg,6.2 km/h,72%
2025-09-16T12:21:33.183467+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-04d.svg,7.5 km/h,67%
2025-09-16T13:34:46.290451+07:00,Hồ Chí Minh,52,/dl/assets/svg/weather/ic-weather-04d.svg,9.2 km/h,65%
2025-09-16T14:22:39.270876+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04d.svg,12.1 km/h,81%
2025-09-16T15:31:31.947061+07:00,Hồ Chí Minh,49,/dl/assets/svg/weather/ic-weather-04d.svg,8.2 km/h,86%
2025-09-16T16:25:42.068632+07:00,Hồ Chí Minh,60,/dl/assets/svg/weather/ic-weather-04d.svg,8.8 km/h,75%
2025-09-16T17:24:11.310857+07:00,Hồ Chí Minh,60,/dl/assets/svg/weather/ic-weather-04d.svg,6.1 km/h,76%
2025-09-16T18:18:51.876025+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-04n.svg,4.1 km/h,76%
2025-09-16T19:48:56.078936+07:00,Hồ Chí Minh,73,/dl/assets/svg/weather/ic-weather-04n.svg,3.7 km/h,82%
2025-09-16T20:32:10.057333+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04n.svg,2.2 km/h,84%
2025-09-16T21:23:45.569654+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04n.svg,3.6 km/h,83%
2025-09-16T22:25:26.268024+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04n.svg,3.7 km/h,85%
2025-09-16T23:29:23.621154+07:00,Hồ Chí Minh,39,/dl/assets/svg/weather/ic-weather-04n.svg,3.8 km/h,81%
2025-09-17T00:19:52.546728+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04n.svg,3.9 km/h,81%
2025-09-17T01:32:40.102766+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-04n.svg,4.2 km/h,83%
2025-09-17T02:18:05.590816+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-04n.svg,3.7 km/h,85%
2025-09-17T03:25:15.232148+07:00,Hồ Chí Minh,71,/dl/assets/svg/weather/ic-weather-04n.svg,5 km/h,89%
2025-09-17T04:20:22.807392+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-04n.svg,4.9 km/h,88%
2025-09-17T05:20:04.758525+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-04n.svg,3.6 km/h,87%
2025-09-17T06:17:59.101581+07:00,Hồ Chí Minh,72,/dl/assets/svg/weather/ic-weather-04d.svg,3.2 km/h,87%
2025-09-17T08:45:04.343446+07:00,Hồ Chí Minh,82,/dl/assets/svg/weather/ic-weather-04d.svg,2.9 km/h,80%
2025-09-17T09:58:31.176416+07:00,Hồ Chí Minh,92,/dl/assets/svg/weather/ic-weather-04d.svg,3.5 km/h,83%
2025-09-17T10:33:03.056796+07:00,Hồ Chí Minh,96,/dl/assets/svg/weather/ic-weather-04d.svg,5.2 km/h,80%
2025-09-17T11:27:04.203119+07:00,Hồ Chí Minh,97,/dl/assets/svg/weather/ic-weather-04d.svg,6.7 km/h,75%
2025-09-17T12:21:57.524403+07:00,Hồ Chí Minh,64,/dl/assets/svg/weather/ic-weather-04d.svg,8.3 km/h,63%
2025-09-17T13:34:55.780787+07:00,Hồ Chí Minh,50,/dl/assets/svg/weather/ic-weather-04d.svg,8.8 km/h,64%
2025-09-17T14:21:40.259374+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04d.svg,7.3 km/h,65%
2025-09-17T15:30:32.138711+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04d.svg,6 km/h,84%
2025-09-17T16:24:49.511869+07:00,Hồ Chí Minh,33,/dl/assets/svg/weather/ic-weather-10d.svg,6.5 km/h,83%
2025-09-17T17:23:41.301077+07:00,Hồ Chí Minh,54,/dl/assets/svg/weather/ic-weather-10d.svg,6 km/h,88%
2025-09-17T18:19:09.779850+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04n.svg,6.7 km/h,88%
2025-09-17T19:48:54.676160+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-04n.svg,8.2 km/h,88%
2025-09-17T20:30:26.835113+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-04n.svg,10 km/h,89%
2025-09-17T21:22:17.589621+07:00,Hồ Chí Minh,63,/dl/assets/svg/weather/ic-weather-04n.svg,9 km/h,91%
2025-09-17T22:24:51.414557+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-04n.svg,7.1 km/h,92%
2025-09-17T23:29:09.925839+07:00,Hồ Chí Minh,61,/dl/assets/svg/weather/ic-weather-04n.svg,6.6 km/h,91%
2025-09-18T00:19:22.923667+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-04n.svg,6.6 km/h,93%
2025-09-18T01:33:00.982088+07:00,Hồ Chí Minh,67,/dl/assets/svg/weather/ic-weather-04n.svg,3.9 km/h,95%
2025-09-18T02:17:50.214387+07:00,Hồ Chí Minh,73,/dl/assets/svg/weather/ic-weather-04n.svg,3.9 km/h,90%
2025-09-18T03:24:35.506391+07:00,Hồ Chí Minh,68,/dl/assets/svg/weather/ic-weather-04n.svg,3.2 km/h,92%
2025-09-18T04:19:42.065414+07:00,Hồ Chí Minh,71,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,91%
2025-09-18T05:18:57.155737+07:00,Hồ Chí Minh,78,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,93%
2025-09-18T06:19:27.594554+07:00,Hồ Chí Minh,93,/dl/assets/svg/weather/ic-weather-04d.svg,2.8 km/h,93%
2025-09-18T08:44:57.254274+07:00,Hồ Chí Minh,94,/dl/assets/svg/weather/ic-weather-04d.svg,4.8 km/h,86%
2025-09-18T10:00:07.671203+07:00,Hồ Chí Minh,74,/dl/assets/svg/weather/ic-weather-04d.svg,5.9 km/h,78%
2025-09-18T10:35:55.317679+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-04d.svg,6.7 km/h,70%
2025-09-18T11:27:29.666186+07:00,Hồ Chí Minh,61,/dl/assets/svg/weather/ic-weather-04d.svg,7.7 km/h,68%
2025-09-18T12:21:19.304344+07:00,Hồ Chí Minh,59,/dl/assets/svg/weather/ic-weather-04d.svg,7.6 km/h,67%
2025-09-18T13:34:32.933296+07:00,Hồ Chí Minh,53,/dl/assets/svg/weather/ic-weather-04d.svg,7.9 km/h,67%
2025-09-18T14:21:34.081385+07:00,Hồ Chí Minh,49,/dl/assets/svg/weather/ic-weather-04d.svg,7.3 km/h,66%
2025-09-18T15:29:57.922286+07:00,Hồ Chí Minh,52,/dl/assets/svg/weather/ic-weather-04d.svg,7 km/h,68%
2025-09-18T16:24:41.566767+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-04d.svg,7.4 km/h,78%
2025-09-18T17:23:42.105747+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-10d.svg,8.2 km/h,82%
2025-09-18T18:18:44.510076+07:00,Hồ Chí Minh,56,/dl/assets/svg/weather/ic-weather-10n.svg,9.1 km/h,89%
2025-09-18T19:47:31.852954+07:00,Hồ Chí Minh,33,/dl/assets/svg/weather/ic-weather-10n.svg,11.1 km/h,92%
2025-09-18T20:30:40.395093+07:00,Hồ Chí Minh,33,/dl/assets/svg/weather/ic-weather-10n.svg,12.7 km/h,93%
2025-09-18T21:22:50.396382+07:00,Hồ Chí Minh,44,/dl/assets/svg/weather/ic-weather-10n.svg,11 km/h,91%
